No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,src_01_01-首页.png,1600,900,1.78,1.78,pixel,1,,bitmap,True,True,100.7,Wide landscape,812x457,328x600
2,src_02_02-AI对话.png,1600,900,1.78,1.78,pixel,1,,bitmap,True,True,48.9,Wide landscape,812x457,328x600
3,src_03_05-学习路径.png,1600,900,1.78,1.78,pixel,1,,bitmap,True,True,63.2,Wide landscape,812x457,328x600
4,src_04_Snipaste_2026-07-15_16-33-35.png,2880,1530,1.88,1.88,pixel,1,,bitmap,True,True,249.6,Wide landscape,812x431,328x600
5,src_05_Snipaste_2026-07-15_16-34-40.png,2880,1530,1.88,1.88,pixel,1,,bitmap,True,True,448.8,Wide landscape,812x431,328x600
6,src_06_Snipaste_2026-07-15_16-35-52.png,2864,1536,1.86,1.86,pixel,1,,bitmap,True,True,387.5,Wide landscape,812x435,328x600
7,src_07_Snipaste_2026-07-15_16-36-15.png,2864,1536,1.86,1.86,pixel,1,,bitmap,True,True,420.3,Wide landscape,812x435,328x600
8,src_08_Snipaste_2026-07-15_16-36-37.png,2864,1536,1.86,1.86,pixel,1,,bitmap,True,True,350.2,Wide landscape,812x435,328x600
9,src_09_Snipaste_2026-07-15_16-37-07.png,2864,1536,1.86,1.86,pixel,1,,bitmap,True,True,348.5,Wide landscape,812x435,328x600
10,src_10_Snipaste_2026-07-15_16-42-40.png,2880,1530,1.88,1.88,pixel,1,,bitmap,True,True,330.4,Wide landscape,812x431,328x600
